Player,DK Pos,Team,Opp,DK Salary,DK Proj,DK Value,OWN_FRAC,DK Floor,DK Ceiling,LEVERAGE_SCORE,VALUE_PER_1k,CEILING_PCT_RANK,OWNERSHIP_PCT_RANK,leverage_delta,id
A.J. Brown,WR,PHI,@DAL,"$5,900.00",14.8,0.1,0.15,4.9,27.6,23.46,$2.51,89.80%,97%,-7.2%,40835722
Jordan Love,QB,GB,MIN,"$5,800.00",16.8,-1.1,0.02,8.6,26.4,25.8984,$2.90,86.39%,67%,19.4%,40835370
Tyrone Tracy Jr.,RB,NYG,@DET,"$5,800.00",11.8,-2.7,0.01,4.5,21.8,21.582,$2.03,77.55%,59%,18.5%,40835466
Caleb Williams,QB,CHI,PIT,"$5,700.00",18.8,1.1,0.04,9.9,29.2,28.148799999999998,$3.30,93.54%,76%,17.5%,40835371
Jameson Williams,WR,DET,NYG,"$5,700.00",15.2,0.9,0.19,4.6,28.9,23.3512,$2.67,92.86%,98%,-5.1%,40835726
Aaron Jones Sr.,RB,MIN,@GB,"$5,700.00",14.6,0.4,0.07,6.3,25.6,23.884800000000002,$2.56,84.69%,81%,3.7%,40835468
D'Andre Swift,RB,CHI,PIT,"$5,600.00",14.7,0.6,0.08,5.4,26.5,24.459500000000002,$2.62,87.76%,83%,4.8%,40835470
DeVonta Smith,WR,PHI,@DAL,"$5,600.00",14.2,0.1,0.14,4.8,26.5,22.79,$2.54,87.76%,96%,-8.2%,40835728
Joe Flacco,QB,CIN,NE,"$5,500.00",16.7,-0.3,0.02,8.2,26.5,25.864,$3.04,87.76%,70%,17.8%,40835373
Tyler Warren,TE,IND,@KC,"$5,500.00",13.1,-0.8,0.03,4.7,23.1,22.314600000000002,$2.38,78.91%,75%,3.9%,40836106
Alvin Kamara,RB,NO,ATL,"$5,500.00",14.3,0.4,0.08,5.6,25.3,23.3013,$2.60,83.33%,84%,-0.7%,40835472
Wan'Dale Robinson,WR,NYG,@DET,"$5,500.00",14.3,0.4,0.13,5.2,26.2,22.8464,$2.60,85.71%,94%,-8.3%,40835730
Kenneth Gainwell,RB,PIT,@CHI,"$5,500.00",8.9,-5.0,0.01,2.7,17.5,17.325,$1.62,69.05%,59%,10.0%,40835474
